"﻿""Source Url""","Transcription"
"http://www.stoa.org/sol-bin/search.pl?search_method=QUERY&login=guest&enlogin=guest&page_num=1&user_list=LIST&searchstr=potter&field=any&num_per_page=25&db=REAL","A place in Athens, where those who died in battle were buried, as Menekles and Kallistrates[1] say in writings about the Athenians in this manner. There is also a deme [named] Kerameikos.[2] On every side are stelai for those who were buried at public expense, which contain inscriptions [specifying] where each man died.;Anacharsis the Scythian, a philosopher, invented the anchor and the potter 's wheel.[3]"
"http://www.stoa.org/sol-bin/search.pl?search_method=QUERY&login=guest&enlogin=guest&page_num=1&user_list=LIST&searchstr=potter&field=any&num_per_page=25&db=REAL","Kolias [is] a place in Attica, where vessels are moulded. So he is saying: whichever [items] are borne on a wheel (he means the potter 's wheel), that is, whichever [clays] are suitable for pottery-making, that of Kolias is better than any, to be doused in miltos.[1];It is a place situated like a man's limb. And the inhabitants [are called] Kolians.[2]"
"http://www.stoa.org/sol-bin/search.pl?search_method=QUERY&login=guest&enlogin=guest&page_num=1&user_list=LIST&searchstr=potter&field=any&num_per_page=25&db=REAL","[Meaning a] furnace.[1];And [there is] a proverb: 'Annos [and the] potter 's oven'. In reference to those who have discovered something new, for Annos the Egyptian adapted the potter 's oven for the baking of bread.[2]"
"http://www.stoa.org/sol-bin/search.pl?search_method=QUERY&login=guest&enlogin=guest&page_num=1&user_list=LIST&searchstr=potter&field=any&num_per_page=25&db=REAL","[Meaning a] fee/wage. For λατρεία [is] service for pay.[1] And λάτρις [""servant"" is spelled] with an iota.[2];""To take the unseemly servant back to the potter.""[3]"
"http://www.stoa.org/sol-bin/search.pl?search_method=QUERY&login=guest&enlogin=guest&page_num=1&user_list=LIST&searchstr=potter&field=any&num_per_page=25&db=REAL","The proverb is said about those being prosecuted on laughable grounds. The story goes that a certain potter -- though some [say] model-maker -- was modelling a load of birds in his workshop. A donkey appeared, while his driver was being careless, and poked in through the doorway;it knocked over the birds and upset the equipment in the workshop. The workshop's owner therefore took the driver to court. When the driver was asked by those he met 'what is the charge against you?', he said '[that] of a donkey's poking-in'."
"http://www.stoa.org/sol-bin/search.pl?search_method=QUERY&login=guest&enlogin=guest&page_num=1&user_list=LIST&searchstr=potter&field=any&num_per_page=25&db=REAL","Of Taras,[1] a writer of comedy, pioneer of the so-called burlesque tragedy, which is [to say] farce-writing.[2] He was the son of a potter and lived at the time of the first Ptolemy. His comedy-tragedy plays [numbered] 38."
"http://www.stoa.org/sol-bin/search.pl?search_method=QUERY&login=guest&enlogin=guest&page_num=1&user_list=LIST&searchstr=potter&field=any&num_per_page=25&db=REAL","[Meaning a] forceful initiative.[1];Aristophanes [writes]: ""from the potter 's thrust.""[2];And elsewhere Eunapius [writes]: ""so strong was the impulse and tendency toward the more wanton, that the rulers were more hostile than our enemies.""[3]"
"http://www.stoa.org/sol-bin/search.pl?search_method=QUERY&login=guest&enlogin=guest&page_num=1&user_list=LIST&searchstr=potter&field=any&num_per_page=25&db=REAL","The Celts, those known as Germans."
"http://www.stoa.org/sol-bin/search.pl?search_method=QUERY&login=guest&enlogin=guest&page_num=1&user_list=LIST&searchstr=potter&field=any&num_per_page=25&db=REAL","[Meaning] idle/lazy, [someone] wasting time. Also [sc. attested is the comparative degree] σχολαίτερον or σχολαιότερον [""more leisurely/tardy, rather leisurely/tardy""], [meaning] more/rather tranquil. Similarly also [the related noun] σχολαιότης.[1];Also [sc. attested is the nominative] σχολαῖος, [meaning he who/that which is] idle/lazy, and [the related noun] σχολαιότης.;""And the Macedonian leader, without a hint of sluggishness, arrives.""[2] Meaning [without a hint] of idleness."
"http://www.stoa.org/sol-bin/search.pl?search_method=QUERY&login=guest&enlogin=guest&page_num=1&user_list=LIST&searchstr=potter&field=any&num_per_page=25&db=REAL","[Meaning] a goblet, which the potter Therikles is said to have been the first to make."
